Provider,product,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Amazon,RH58,0.1557,0.046,0.0097,0.1,0,0,0,0,30,300,2,8,300,yes,no,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH59,0.1547,0.045,0.0097,0.1,0,0,0,0,400,300,2,8,300,yes,no,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH60,0.1427,0.033,0.0097,0.1,0,0,0,0,400,300,2,8,300,yes,no,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH61,0.1407,0.031,0.0097,0.1,0,0,0,0,400,300,2,8,300,yes,no,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH62,0.1387,0.029,0.0097,0.1,0,0,0,0,400,300,2,8,300,yes,no,both,no,All upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH63,0.16346,0.05376,0.0097,0.1,0,0,0,0,400,300,2,8,300,yes,no,both,no,no upfront,No commitment,Spot,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH64,0.2333,0.1236,0.0097,0.1,0,0,0,0,400,600,2,8,300,yes,no,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH65,0.19622,0.08652,0.0097,0.1,0,0,0,0,400,600,2,8,300,yes,no,both,no,no upfront,No commitment,Spot,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH66,0.21925,0.088,0.03125,0.1,0,0,0,0,400,600,2,8,1000,yes,no,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH67,0.21625,0.085,0.03125,0.1,0,0,0,0,400,600,2,8,1000,yes,no,both,no,partially upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH68,0.21525,0.084,0.03125,0.1,0,0,0,0,500,600,2,8,1000,yes,no,both,no,All upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH69,0.20025,0.069,0.03125,0.1,0,0,0,0,500,600,2,8,1000,yes,no,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH70,0.19725,0.066,0.03125,0.1,0,0,0,0,500,600,2,8,1000,yes,no,both,no,partially upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH71,0.19525,0.064,0.03125,0.1,0,0,0,0,500,600,2,8,1000,yes,no,both,no,All upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon,RH72,0.26805,0.1368,0.03125,0.1,0,0,0,0,500,600,2,8,1000,yes,no,both,no,no upfront,No commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
