Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_Redudancy,Container_support
Google,1.149753425,WebApp,8,32,10,1000,100,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.1954520548,WebApp,1,0.5,500,400,100,no,0,A_Shared,Windows,Asia,yes,no,A_no,no,no
Google,0.3114520548,WebApp,2,1,500,400,100,no,0,A_Shared,Windows,Asia,yes,no,A_no,no,no
Google,0.4274520548,WebApp,2,2,500,400,100,no,0,A_Shared,Windows,Asia,yes,no,A_no,no,no
Google,0.6133150685,WebApp,4,2,500,400,100,no,0,A_Shared,Windows,Asia,yes,no,A_no,yes,no
Google,0.2653150685,WebApp,1,0.5,500,400,100,yes,0,A_Shared,Windows,Asia,yes,no,A_no,yes,no
Google,0.3813150685,WebApp,2,1,500,400,100,yes,0,A_Shared,Windows,Asia,yes,no,A_no,yes,no
Google,0.5959452055,WebApp,2,2,500,1000,100,yes,0,A_Shared,Windows,Asia,yes,no,A_no,yes,no
Google,0.1425479452,WebApp,1,1.75,10,400,100,yes,0,A_Shared,Windows,Asia,yes,no,A_no,no,yes
Google,0.2165479452,WebApp,2,3.5,10,400,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,no,yes
Google,0.3645479452,WebApp,4,7,10,400,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,no,yes
Google,0.1325479452,WebApp,1,0.5,10,400,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,no,yes
Google,0.1965479452,WebApp,2,1,10,400,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,no,yes
Google,0.2155616438,WebApp,2,2,10,400,600,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.2555616438,WebApp,2,7,10,400,600,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.4315616438,WebApp,4,14,10,400,600,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.2635616438,WebApp,2,8,10,400,600,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.4475616438,WebApp,4,16,10,400,600,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.9073424658,WebApp,8,32,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.4099726027,WebApp,1,0.5,1000,400,100,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.5459726027,WebApp,2,1,1000,400,100,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.6819726027,WebApp,2,2,1000,400,100,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.8179726027,WebApp,4,2,1000,400,100,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.5661369863,WebApp,1,0.5,1000,1000,100,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.622,WebApp,2,1,500,1000,400,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.758,WebApp,2,2,500,1000,400,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.1955547945,WebApp,1,1.75,50,400,100,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,yes
Google,0.2840547945,WebApp,2,3.5,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.4610547945,WebApp,4,7,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.1830547945,WebApp,1,0.5,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.2590547945,WebApp,2,1,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.2690547945,WebApp,2,2,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.3190547945,WebApp,2,7,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.5310547945,WebApp,4,14,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.3290547945,WebApp,2,8,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.5510547945,WebApp,4,16,50,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.9937945205,WebApp,8,32,10,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
Google,0.2657534247,WebApp,1,0.5,50,1000,100,no,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.3646575342,WebApp,2,1,10,1000,100,no,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.4646575342,WebApp,2,2,10,1000,100,no,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.5646575342,WebApp,4,2,10,1000,100,no,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.2646575342,WebApp,1,0.5,10,1000,100,yes,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.3646575342,WebApp,2,1,10,1000,100,yes,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.6309589041,WebApp,2,2,10,2000,100,yes,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.5102304795,WebApp,1,1.75,500,2000,100,yes,0,A_Shared,Windows,US,yes,no,A_no,no,yes
Google,0.5752554795,WebApp,2,3.5,500,2000,100,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.7053054795,WebApp,4,7,500,2000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.3965609589,WebApp,1,0.5,50,2000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.4527109589,WebApp,2,1,50,2000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.4598109589,WebApp,2,2,50,2000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.8240780822,WebApp,2,7,50,4000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.9789780822,WebApp,4,14,50,4000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,0.8777534247,WebApp,2,8,250,4000,400,yes,0,A_Shared,Windows,US,no,no,A_no,no,yes
Google,1.103452055,WebApp,4,16,250,4000,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
